Epoch 001 | Loss: 0.0068 | MAE Count: 14.43
Epoch 002 | Loss: 0.0027 | MAE Count: 5.27
Epoch 003 | Loss: 0.0023 | MAE Count: 15.00
Epoch 004 | Loss: 0.0021 | MAE Count: 2.53
Epoch 005 | Loss: 0.0020 | MAE Count: 6.10
Epoch 006 | Loss: 0.0019 | MAE Count: 3.43
Epoch 007 | Loss: 0.0018 | MAE Count: 1.45
Epoch 008 | Loss: 0.0018 | MAE Count: 2.60
Epoch 009 | Loss: 0.0017 | MAE Count: 2.69
Epoch 010 | Loss: 0.0017 | MAE Count: 1.56
Epoch 011 | Loss: 0.0017 | MAE Count: 3.00
Epoch 012 | Loss: 0.0016 | MAE Count: 3.20
Epoch 013 | Loss: 0.0016 | MAE Count: 4.07
Epoch 014 | Loss: 0.0016 | MAE Count: 1.15
Epoch 015 | Loss: 0.0015 | MAE Count: 1.48
Epoch 016 | Loss: 0.0015 | MAE Count: 4.95
Epoch 017 | Loss: 0.0015 | MAE Count: 1.27
Epoch 018 | Loss: 0.0015 | MAE Count: 1.27
Epoch 019 | Loss: 0.0015 | MAE Count: 1.27
Epoch 020 | Loss: 0.0014 | MAE Count: 0.72
Epoch 021 | Loss: 0.0014 | MAE Count: 2.48
Epoch 022 | Loss: 0.0014 | MAE Count: 1.43
Epoch 023 | Loss: 0.0014 | MAE Count: 1.34
Epoch 024 | Loss: 0.0014 | MAE Count: 2.02
Epoch 025 | Loss: 0.0013 | MAE Count: 0.73
Epoch 026 | Loss: 0.0013 | MAE Count: 1.62
Epoch 027 | Loss: 0.0013 | MAE Count: 0.62
Epoch 028 | Loss: 0.0013 | MAE Count: 5.43
Epoch 029 | Loss: 0.0013 | MAE Count: 2.18
Epoch 030 | Loss: 0.0012 | MAE Count: 3.05
Epoch 031 | Loss: 0.0012 | MAE Count: 1.78
Epoch 032 | Loss: 0.0012 | MAE Count: 1.08
Epoch 033 | Loss: 0.0011 | MAE Count: 0.66
Epoch 034 | Loss: 0.0012 | MAE Count: 0.49
Epoch 035 | Loss: 0.0011 | MAE Count: 1.26
Epoch 036 | Loss: 0.0011 | MAE Count: 1.29
Epoch 037 | Loss: 0.0011 | MAE Count: 0.75
Epoch 038 | Loss: 0.0010 | MAE Count: 0.46
Epoch 039 | Loss: 0.0010 | MAE Count: 2.51
Epoch 040 | Loss: 0.0010 | MAE Count: 2.23
Epoch 041 | Loss: 0.0009 | MAE Count: 1.81
