Epoch 001 | Loss: 0.1415 | MAE Count: 23.98
Epoch 002 | Loss: 0.0648 | MAE Count: 12.80
Epoch 003 | Loss: 0.0454 | MAE Count: 9.14
Epoch 004 | Loss: 0.0344 | MAE Count: 9.48
Epoch 005 | Loss: 0.0273 | MAE Count: 10.30
Epoch 006 | Loss: 0.0217 | MAE Count: 6.61
Epoch 007 | Loss: 0.0183 | MAE Count: 5.66
Epoch 008 | Loss: 0.0158 | MAE Count: 6.04
Epoch 009 | Loss: 0.0136 | MAE Count: 4.99
Epoch 010 | Loss: 0.0115 | MAE Count: 5.05
Epoch 011 | Loss: 0.0103 | MAE Count: 4.99
Epoch 012 | Loss: 0.0089 | MAE Count: 4.17
Epoch 013 | Loss: 0.0082 | MAE Count: 4.38
Epoch 014 | Loss: 0.0074 | MAE Count: 3.75
Epoch 015 | Loss: 0.0067 | MAE Count: 3.33
Epoch 016 | Loss: 0.0062 | MAE Count: 4.22
Epoch 017 | Loss: 0.0056 | MAE Count: 4.21
Epoch 018 | Loss: 0.0053 | MAE Count: 3.75
Epoch 019 | Loss: 0.0049 | MAE Count: 3.38
Epoch 020 | Loss: 0.0046 | MAE Count: 5.57
Epoch 021 | Loss: 0.0046 | MAE Count: 3.77
Epoch 022 | Loss: 0.0042 | MAE Count: 4.10
Epoch 023 | Loss: 0.0039 | MAE Count: 4.21
Epoch 024 | Loss: 0.0038 | MAE Count: 3.28
Epoch 025 | Loss: 0.0037 | MAE Count: 3.50
Epoch 026 | Loss: 0.0035 | MAE Count: 4.11
Epoch 027 | Loss: 0.0033 | MAE Count: 2.97
Epoch 028 | Loss: 0.0032 | MAE Count: 3.24
Epoch 029 | Loss: 0.0030 | MAE Count: 3.22
Epoch 030 | Loss: 0.0030 | MAE Count: 3.27
Epoch 031 | Loss: 0.0029 | MAE Count: 3.01
Epoch 032 | Loss: 0.0029 | MAE Count: 2.70
Epoch 033 | Loss: 0.0028 | MAE Count: 3.11
Epoch 034 | Loss: 0.0026 | MAE Count: 3.87
Epoch 035 | Loss: 0.0026 | MAE Count: 3.29
Epoch 036 | Loss: 0.0026 | MAE Count: 3.09
Epoch 037 | Loss: 0.0025 | MAE Count: 3.63
Epoch 038 | Loss: 0.0024 | MAE Count: 3.34
Epoch 039 | Loss: 0.0024 | MAE Count: 2.88
Epoch 040 | Loss: 0.0024 | MAE Count: 2.74
Epoch 041 | Loss: 0.0023 | MAE Count: 2.35
Epoch 042 | Loss: 0.0022 | MAE Count: 3.34
